Page,Section,English,中文
Homepage,ambassador-tien-name,Tien,Tien
Homepage,ambassador-tien-school,York University,约克大学
Homepage,ambassador-tien-program,"Statistics, 3rd Year","统计学，大三"
Homepage,ambassador-tien-quote,"""Don't be afraid to ask for help. Support won't come automatically.""","""不要害怕寻求帮助。支持不会自动找上门。"""
Homepage,ambassadors-cta,Meet All Ambassadors,认识所有大使
Homepage,safety-eyebrow,Safety & Wellbeing,安全与身心健康
Homepage,safety-title,Safety isn't a feature. It's the starting point.,安全不是一种功能，而是我们的起点。
Homepage,safety-p,"Every guardianship service says ""your child is safe."" We'd rather show you what that actually looks like.",每家监护服务机构都承诺"您的孩子很安全"，但我们更愿意向您展示这究竟意味着什么。
Homepage,safety-tab-families,For Families,为家庭提供安心
Homepage,safety-tab-students,For Students,为学生提供支持
Homepage,safety-families-h3,Peace of Mind for Families,为家庭带来的安心保障
Homepage,safety-families-p1,"Knowing your child has a trusted safety network nearby changes everything. You stop wondering and start sleeping.",知道您的孩子身边有值得信赖的安全网络，一切都会有所不同。您不再担忧，终于能安心入睡。
Homepage,safety-families-p2,"Through our partnership with Community Patrol, Crestway Global gives students immediate access to help when they need it. That means you and your child can focus on what matters: grades, growth, and actually enjoying the experience.","通过与 Community Patrol 的合作，Crestway Global 为学生提供即时帮助，当他们需要时即可获得支持。这意味着您和孩子可以专注于真正重要的事：成绩、成长和享受这段经历。"
Homepage,safety-families-li-1,"We visit housing before anything gets signed. Smoke detectors, landlord background checks, neighborhood verification.",在签署任何协议前，我们都会实地探访住宿。包括烟雾报警器检查、房东背景调查及社区核实。
Homepage,safety-families-li-2,24/7 emergency line answered by someone who knows your student's name. Not a call center.,24/7紧急热线由熟悉您学生姓名的人接听，而非普通呼叫中心。
Homepage,safety-families-li-3,"Airport pickup, first-week city orientation, and a clear plan for when something goes wrong.",机场接机、第一周城市导览，以及遇到问题时的清晰应对方案。
Homepage,safety-families-li-4,"Crestway Assist: a 24/7 safety button inside the app. One tap connects your child to someone who already knows their situation.",Crestway Assist：应用内的24/7安全按钮，一键连接已了解您孩子情况的专人。
Homepage,safety-students-h3,Personal Safety & Assistance,个人安全与支持
Homepage,safety-students-p1,"New country. Unfamiliar situations. That's normal. What shouldn't be normal is having no one to call.",新国家、不熟悉的环境，这是正常的。不正常的是，无人可联系。
Homepage,safety-students-p2,"Through our partnership with Community Patrol, you can access priority assistance through the Crestway app. If you need guidance or someone to step in, help is one notification away.","通过与 Community Patrol 的合作，您可通过Crestway应用获得优先协助。如需指导或有人介入，只需一次通知，帮助即可抵达。"
Homepage,safety-students-li-1,"We check your housing before you move in. Fire safety, landlord verification, neighborhood walkthrough.",在您入住前，我们会检查住宿环境，包括消防安全、房东背景调查及社区实地考察。
Homepage,safety-students-li-2,24/7 line answered by someone who knows your name and your situation.,24/7热线由熟悉您姓名及情况的人接听。
Homepage,safety-students-li-3,"First-week city orientation so you know where the clinic is, how transit works, and what to do if something goes sideways.",第一周城市导览，帮助您了解诊所位置、交通方式及遇到问题时的应对措施。
Homepage,safety-students-li-4,"Crestway Assist: a safety button in the app. One tap. Someone who knows you responds.",Crestway Assist：应用内的安全按钮，一键响应，了解您情况的专人将提供帮助。
Homepage,health-eyebrow,Health & Wellness,健康与福祉服务
Homepage,health-title,Private healthcare and wellness care through tier-one partners.,通过一级合作伙伴提供的私人医疗与健康护理服务。
Homepage,health-p,University health centres handle basics. We go further. Crestway Global students get access to private healthcare and mental wellness providers who actually specialize in international student needs.,大学健康中心处理基础需求，但我们更进一步。Crestway Global 学生可享受专为国际学生设计的私人医疗及心理健康服务。
Homepage,health-partner-1-logo-label,Cleveland Clinic Canada logo,医疗合作伙伴标志
Homepage,health-partner-1-logo-text,Cleveland Clinic Canada,Partner Logo
Homepage,health-partner-1-h3,Cleveland Clinic Canada,Cleveland Clinic Canada
Homepage,health-partner-1-p,"Direct access to a private clinic. In-house nurse visits so students get care without leaving home. Priority appointments with physicians who understand international insurance and immigration medical requirements.",可直接预约私人诊所，校内护士定期探访，学生无需离家即可获得医疗照顾。优先安排医生，熟悉国际保险及移民医疗要求。
Homepage,health-partner-2-logo-label,Homewood Health logo,心理健康合作伙伴标志
Homepage,health-partner-2-logo-text,Homewood Health,Partner Logo
Homepage,health-partner-2-h3,Homewood Health,Homewood Health
Homepage,health-partner-2-p,"Confidential mental wellness support focused on the things that actually trip students up: study habits, time management, exam stress, and life skills. Not crisis therapy. Practical help for staying on track.",保密心理支持，专注学生易受困扰的领域：学习习惯、时间管理、考试压力及生活技能。非危机干预，而是提供实用帮助，协助学生保持正轨。
Homepage,health-partner-3-logo-label,Insurance navigation,保险导航合作伙伴标志
Homepage,health-partner-3-logo-text,Insurance Nav,Partner Logo
Homepage,health-partner-3-h3,Insurance Navigation,保险导航服务
Homepage,health-partner-3-p,"Canadian healthcare is confusing even for Canadians. We help students register with a family doctor, understand what their insurance covers, and avoid surprise bills.",加拿大医疗体系对加拿大人来说都复杂，我们协助学生注册家庭医生，理解保险范围，避免意外账单。
Homepage,academics-oversize,Outcomes,发展
Homepage,academics-eyebrow,Outcomes & Integration,发展与融入
Homepage,academics-title,Make the return on a Canadian degree show up sooner.,让加拿大文凭的回报更早显现。
Homepage,academics-p,"International families invest in opportunity. We help students convert that investment into relationships, clarity, and forward motion.",留学是一笔投资。我们帮助学生把投入转化为人脉、方向与机会。
Homepage,academics-li-1,Introductions to alumni and professional networks that open doors early.,对接校友与职业网络，尽早打开机会。
Homepage,academics-li-2,"Guidance on government offices, school systems, and unfamiliar paperwork.",政府机构、学校制度与陌生手续的指导。
Homepage,academics-li-3,"A local person to explain expectations, options, and cultural norms.",本地顾问解释文化差异、规则与选择。
Homepage,admissions-eyebrow,Admissions,申请
Homepage,admissions-title,We accept fewer students than we turn away.,我们拒绝的多于录取的。
Homepage,admissions-p,"Personalized support requires a low ratio of students to staff. If we accepted everyone, we'd become what we're not: a checkbox guardianship service that loses track of individuals.","个性化支持需要低师生比。若接收所有申请，我们将变成"只做手续"的机构，而不是我们坚持的服务。"
Homepage,admissions-looking-h3,What we're looking for,我们在寻找
Homepage,admissions-looking-li-1,"Students who want to grow, not just survive.",希望成长，而不是仅仅生存的学生。
Homepage,admissions-looking-li-2,Consistent effort (your transcript doesn't need to be perfect).,努力且稳定的学习态度。
Homepage,admissions-looking-li-3,Willingness to engage with a new community.,愿意融入新社区。
Homepage,admissions-looking-li-4,Parents who want to stay involved without hovering.,希望参与但不想过度干预的家长。
Homepage,admissions-not-h3,What we're not looking for,我们不适合
Homepage,admissions-not-li-1,"Students who need 24/7 supervision (we're support, not surveillance).",需要 24/7 监护的学生（我们是支持，不是监视）。
Homepage,admissions-not-li-2,Families expecting us to replace parenting entirely.,期待我们替代家庭教育的家庭。
Homepage,faq-eyebrow,FAQ,常见问题
Homepage,faq-title,The questions parents actually ask.,家长最常问的问题。
Homepage,faq-1-summary,What happens if my child has an emergency at 2am?,凌晨两点有紧急情况怎么办？
Homepage,faq-1-p,"Students contact our emergency line, answered by an assigned advisor familiar with their situation. We coordinate hospital visits, housing access issues, travel complications, and other urgent matters. Families receive notification once the situation is addressed.",学生拨打我们的紧急电话，会有了解他/她的顾问接听。我们处理过就医、被锁在门外、航班误点等情况。问题解决后我们会第一时间联系你。
Homepage,faq-2-summary,How is this different from the guardianship my kid's school requires?,这和学校要求的监护服务有什么不同？
Homepage,faq-2-p,"Most school-required guardianship services are paperwork. We're involved week to week: sharing context, guiding decisions, and helping families navigate local systems.",多数学校的监护服务只做文件签字。我们每周参与：提供背景、协助决策、帮助家庭理解本地系统。
Homepage,faq-3-summary,My kid wants independence. Won't this feel like babysitting?,孩子要独立，这会不会像"看管"？
Homepage,faq-3-p,"Our students aren't being watched. They're being supported. When they need help, they don't have to figure it out alone.",我们不是监督，而是支持。当他/她需要帮助时，不必一个人摸索。
Homepage,trust-eyebrow,Why Families Choose Crestway Global,为什么家庭选择 Crestway Global
Homepage,trust-title,"Emotional trust, backed by rational reassurance.",情感信任与理性安心并存。
Homepage,trust-p1,"Families choose Crestway Global for one simple reason: they want to know their child is supported. Not just in emergencies, but every day.",家庭选择 Crestway Global 的原因很简单：希望孩子每天都被照顾到，而不仅仅是在紧急时刻。
Homepage,trust-p2,"We provide trusted, on-the-ground support that safeguards students' safety, wellbeing, and growth, while giving parents clarity and peace of mind from anywhere in the world.",我们提供本地可信赖的支持，关注安全、身心与成长，同时让家长随时掌握情况。
Homepage,trust-p3,"Because confidence abroad comes from knowing someone you trust is always there.",远在海外，安心来自"有人一直在"。
Homepage,cities-eyebrow,Explore Our Cities,城市支持
Homepage,cities-title,Local support in the places students actually live.,学生真正生活的地方，我们在现场。
Homepage,city-toronto-alt,Aerial view of Toronto skyline near the waterfront.,多伦多天际线与湖岸航拍图。
Homepage,city-toronto-h3,Toronto,多伦多 Toronto
Homepage,city-toronto-p,Our founding team. Canada's largest post-secondary ecosystem with deep on-the-ground support.,我们的创始团队。加拿大最大高校生态，深度本地支持。
Homepage,city-vancouver-alt,"Aerial view of Vancouver with mountains and harbor.",温哥华航拍图，远处可见山海。
Homepage,city-vancouver-h3,Vancouver,温哥华 Vancouver
Homepage,city-vancouver-coming-soon,Coming Soon,即将开放
Homepage,city-vancouver-p,Coastal campuses and global connections. Expansion planned for 2026.,海岸校园与全球连接。计划 2026 年拓展。
Homepage,city-montreal-alt,Aerial view of Montreal with historic buildings and skyline.,蒙特利尔航拍图，历史建筑与天际线同框。
Homepage,city-montreal-h3,Montreal,蒙特利尔 Montreal
Homepage,city-montreal-coming-soon,Coming Soon,即将开放
Homepage,city-montreal-p,A bilingual student city. Expansion planned for 2026.,双语学生城市。计划 2026 年拓展。
Homepage,apply-title,Request a Consultation,预约咨询
Homepage,apply-p,Share a few details so we can personalize your consultation. We review every inquiry to ensure the best possible fit.,请分享一些信息，以便我们为您定制咨询方案。我们会审核每一份咨询申请，确保最佳匹配。
Homepage,next-title,A trusted support system - for students abroad and families at home.,给海外学生与国内家庭的可信支持体系。
Homepage,next-cta-primary,Apply now,立即申请
Homepage,next-cta-ghost,Read the FAQ,阅读常见问题
Homepage,footer-brand,Crestway Global,Crestway Global
Homepage,footer-description,Educational guardianship and support services for international students in Canada.,加拿大国际学生专业监护服务。
Homepage,footer-contact-title,Contact,联系
Homepage,footer-email,hello@crestwayglobal.com,hello@crestwayglobal.com
Homepage,footer-address-1,"110 Sheppard Ave E, Suite 110","110 Sheppard Ave E, Suite 110"
Homepage,footer-address-2,"North York, ON M2N 6K1","North York, ON M2N 6K1"
Homepage,footer-explore-title,Explore,了解更多
Homepage,footer-link-about,About Us,关于我们
Homepage,footer-link-services,Services,服务内容
Homepage,footer-link-governance,Governance,治理与保障
Homepage,footer-link-difference,Our Difference,我们的不同
Homepage,footer-link-partnerships,Partnerships,合作伙伴
Homepage,footer-link-ambassadors,Ambassadors,学生大使
Homepage,footer-link-apply,Apply,申请
About,title,About Us | Crestway Global,关于我们 | Crestway Global
About,hero-eyebrow,About Us,关于我们
About,hero-title,The trusted companion for students studying away from home.,专业监护，结合制度 expertise 与文化理解
About,hero-lede,"A premium, dedicated support system for international families, combining institutional expertise with culturally informed care.",为国际家庭提供专业监护服务，融合制度 expertise 与文化敏感支持
About,mission-eyebrow,Our Mission,我们的使命
About,mission-title,"Ensuring a safer, supported, and more confident journey abroad — for your child, and for you.",弥合大学支持与家庭期望之间的差距
About,mission-p1,"Sending your child overseas is one of the biggest decisions a family can make. Crestway Global exists so you never have to wonder if your child is safe, supported, or thriving.","Crestway Global 的建立旨在解决一个 documented 缺口：加拿大大学提供必要的学术和行政支持，但缺乏国际家庭期望的持续、个性化福利监测资源。"
About,mission-p2,"Crestway Global provides structured, on-the-ground support so your child is guided academically, emotionally, and practically while you remain informed, reassured, and confident from anywhere in the world. For families who believe that safety, wellbeing, and academic success go hand in hand, Crestway Global ensures students don't just attend university — they thrive.",我们的方法将专业 expertise 与文化理解相结合。我们维护安全、沟通和问责的结构化协议——同时认识到有效的监护需要人际关系和文化 fluency。
About,founders-eyebrow,Leadership,领导层
About,founders-title,Combined expertise in public safety and institutional development,公共安全与制度发展的综合 expertise
About,founders-p,"Crestway Global's founders bring complementary backgrounds: decades of law enforcement and community safety experience, alongside real estate development and student housing operations.",Crestway Global 的创始人带来互补的背景：数十年的执法和社区安全经验，以及房地产开发和学生住房运营。
About,dave-alt,Dave Murray as a young police officer,年轻时的 Dave Murray
About,dave-caption,"Dave at age 20, early in his police career",Dave 20岁时，警察生涯早期
About,dave-name,Dave Murray,Dave Murray
About,dave-role,Co-Founder & Director of Operations,联合创始人兼运营总监
About,dave-p1,"Dave Murray served the City of Toronto for 31 years as a police officer, retiring at the rank of Staff Sergeant. His career included seven years as a criminal investigator, developing expertise in safety assessment, risk management, and community protection protocols.","Dave Murray 在多伦多市警察局服务31年，以 Staff Sergeant 级别退休。他的职业生涯包括七年刑事调查员经历，培养了安全评估、风险管理和社区保护协议方面的 expertise。"
About,dave-p2,"This background directly informs Crestway Global's safeguarding procedures. Dave established our housing verification protocols, emergency response systems, and staff training programs. His institutional knowledge of Toronto's support systems—healthcare, law enforcement, social services—enables Crestway Global to navigate complex situations effectively.",这一背景直接 inform Crestway Global 的 safeguarding 程序。Dave 建立了我们的住房验证协议、紧急响应系统和员工培训项目。他对多伦多支持系统——医疗、执法、社会服务——的制度 knowledge 使 Crestway Global 能够有效 navigate 复杂情况。
About,dave-p3,"Dave leads operations with an emphasis on documented procedures, accountability, and preventive care. His approach ensures that Crestway Global's support is both personally attentive and professionally structured.",Dave 以强调文档化程序、问责和 preventive care 的方式领导运营。他的方法确保 Crestway Global 的支持既个人 attentive 又专业 structured。
About,doug-alt,Doug Hochglaube,Doug Hochglaube
About,doug-name,Doug Hochglaube,Doug Hochglaube
About,doug-role,Co-Founder & Strategic Director,联合创始人兼战略总监
About,doug-p1,"Doug Hochglaube is a real estate developer with nearly two decades of experience in student housing and community-focused projects across Ontario. His work has involved the development and management of housing for thousands of students, giving him direct insight into the gaps between institutional support and student needs.","Doug Hochglaube 是一位房地产开发商，在安大略省学生住房和社区 focus 项目方面有将近二十年经验。他的工作涉及开发和管理数千名学生的住房，使他对机构支持与学生需求之间的 gap 有直接 insight。"
About,doug-p2,"This operational background shapes Crestway Global's structural approach. Doug developed our partnership frameworks with universities, our housing assessment protocols, and our scalability planning. His experience with regulatory compliance, insurance, and risk management informs our governance standards.","这种运营背景塑造 Crestway Global 的结构化方法。Doug 开发了我们与大学的合作框架、住房评估协议和可扩展性规划。他在 regulatory compliance、保险和风险管理方面的经验 inform 我们的治理标准。"
About,doug-p3,"Doug directs Crestway Global's institutional relationships and strategic development, ensuring that our growth maintains service quality and professional standards. His focus is on building sustainable systems that can deliver consistent, accountable support at scale.","Doug 指导 Crestway Global 的机构关系和战略发展，确保我们的增长保持服务质量和专业标准。他的 focus 是建立可持续系统，能够在规模上提供一致、可问责的支持。"
About,team-eyebrow,Our Team,我们的团队
About,team-title,"Local expertise in Toronto, with expansion coming soon.",多伦多本地专业团队
About,team-p,"Our founding team in Toronto brings deep connections with universities, housing networks, and healthcare providers who work with international students.",我们在多伦多的创始团队与大学、住房网络和服务国际学生的医疗机构有深厚的联系。
About,team-toronto-h3,Toronto,多伦多
About,team-toronto-p,"Our founding team. Canada's largest student city with deep connections across the GTA's sprawling campus ecosystem. We know every transit route, clinic, and rental district that matters to international students.",我们的创始团队。加拿大最大的学生城市，在大多伦多地区校园生态系统中有深厚的联系。我们熟悉国际学生关心的每条交通路线、诊所和租房区域。
About,values-eyebrow,What Guides Us,指导原则
About,values-title,Support without surveillance. Safety without fear.,支持而非监视。安全而非恐惧。
About,values-1-h3,Proactive care,主动关怀
About,values-1-p,"We don't wait for crises. Regular check-ins and local presence mean we catch issues early, before they become emergencies.",我们不等危机发生。定期沟通和本地存在意味着我们在问题变成紧急情况之前就能发现。
About,values-2-h3,Cultural fluency,文化理解
About,values-2-p,Our team speaks Mandarin and understands the cultural context Chinese students come from. We bridge two worlds.,我们的团队会说普通话，理解中国学生的文化背景。我们连接两个世界。
About,values-3-h3,Genuine connection,真诚连接
About,values-3-p,"Students aren't case numbers. We know their names, their goals, and what keeps their parents up at night.",学生不是案例编号。我们知道他们的名字、目标，以及什么让他们的父母夜不能寐。
About,values-4-h3,Transparent communication,透明沟通
About,values-4-p,"Parents receive regular, specific updates. No vague reassurances—real information about how their child is doing.",家长收到定期、具体的更新。没有模糊的安慰——而是关于孩子情况的真实信息。
About,cta-title,Ready to learn more?,想了解更多？
About,cta-p,Start an application or schedule a call with our team to see if Crestway Global is the right fit for your family.,开始申请或预约通话，了解 Crestway Global 是否适合您的家庭。
About,cta-primary,Start an application,开始申请
About,cta-ghost,Schedule a call,预约通话
About,footer-description,Educational guardianship and support services for international students in Canada.,加拿大国际学生专业监护服务
Services,title,Services | Crestway Global,服务内容 | Crestway Global
Services,hero-eyebrow,Services,服务内容
Services,hero-title,Six pillars of student success.,学生成功的六大支柱。
Services,hero-lede,Structured oversight that enables student success and family confidence.,系统化支持，助力学生成功，让家长安心
Services,pillars-sr-title,Our Service Pillars,我们的服务支柱
Services,pillar-01-h3,Arrival & Settlement,抵达与安置
Services,pillar-01-outcome,Students arrive prepared and housed safely.,学生安全抵达，住房无忧
Services,pillar-01-li-1,Pre-arrival immigration and documentation review,出发前移民与文件审核
Services,pillar-01-li-2,Housing needs assessment and verified options,住房需求评估与验证房源
Services,pillar-01-li-3,In-person lease review and move-in coordination,实地租约审查与搬入协调
Services,pillar-01-li-4,Airport reception and escort to residence,机场接机与护送至住处
Services,pillar-01-li-5,City orientation and essential services setup,城市导览与基础服务办理
Services,pillar-02-h3,Health & Safety,健康与安全
Services,pillar-02-outcome,Physical and mental wellbeing maintained throughout the academic year.,全年维护身心健康
Services,pillar-02-li-1,Family physician registration and health insurance navigation,家庭医生注册与医疗保险指导
Services,pillar-02-li-2,Mental health resource coordination,心理健康资源协调
Services,pillar-02-li-3,24/7 emergency response line,24/7 紧急响应热线
Services,pillar-02-li-4,Hospital and medical appointment accompaniment,医院就医陪同
Services,pillar-02-li-5,Regular wellness check-ins,定期健康检查
Services,pillar-02-li-6,Access to private healthcare and wellness providers through Crestway Global's partner network,通过 Crestway Global 合作伙伴网络获取私人医疗与健康服务
Services,pillar-02-li-7,"Crestway Assist: 24/7 safety button in the app, connecting students directly to someone who knows their name and situation",Crestway Assist：应用内的24/7安全按钮，直接连接了解您姓名及情况的专人
Services,pillar-03-h3,Academic Monitoring & Support,学业监测与支持服务
Services,pillar-03-outcome,Academic monitoring and intervention when required.,学业监测及必要时的干预措施。
Services,pillar-03-li-1,Course enrollment and timetable guidance,选课与课程表指导
Services,pillar-03-li-2,Connection to academic support resources,学术支持资源对接
Services,pillar-03-li-3,Study skills and time management coaching,学习技巧与时间管理辅导
Services,pillar-03-li-4,Communication with academic advisors when appropriate,必要时与学业导师沟通
Services,pillar-03-li-5,Progress monitoring and intervention if needed,学业进展监测与及时干预
Services,pillar-04-h3,Cultural Adaptation,文化适应
Services,pillar-04-outcome,Students build community and confidence in their new environment.,学生建立社交圈，适应新环境
Services,pillar-04-li-1,Mandarin-speaking mentorship for daily life navigation,普通话导师协助日常生活
Services,pillar-04-li-2,"Budgeting, transit, and life skills guidance","预算管理、交通、生活技能指导"
Services,pillar-04-li-3,Social events and peer community building,社交活动与同伴社区建设
